"","name","info","point","value"
"108","
                一个人的朝圣

                
              ","【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80",8.1,"(
                    52334人评价
                )"
"109","
                朝花夕拾

                
              ","鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元",8.7,"(
                    47728人评价
                )"
"110","
                如何阅读一本书

                
              ","[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元",8.4,"(
                    49123人评价
                )"
"111","
                格林童话全集

                
              ","[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元",9,"(
                    45023人评价
                )"
"112","
                孩子你慢慢来

                
              ","龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元",8.8,"(
                    44482人评价
                )"
"113","
                杀死一只知更鸟

                
              ","[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元",9.2,"(
                    41983人评价
                )"
"114","
                海底两万里

                
              ","[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元",8.4,"(
                    45589人评价
                )"
"115","
                地下铁

                
              ","幾米 / 辽宁教育出版社 / 2002-2 / 32.00元",8.3,"(
                    45865人评价
                )"
"116","
                麦琪的礼物

                
                   : 欧·亨利短篇小说经典 
              ","[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元",8.6,"(
                    43090人评价
                )"
"117","
                刀锋

                
              ","[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元",9,"(
                    40926人评价
                )"
"118","
                你今天真好看

                
              ","[美]莉兹<U+2022>克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元",8.7,"(
                    42508人评价
                )"
"119","
                步步惊心

                
              ","桐华 / 民族出版社 / 2006-6 / 25.00元",8.1,"(
                    44789人评价
                )"
"120","
                菊与刀

                
                   : 日本文化的类型 
              ","（美）鲁思<U+30FB>本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00",8.2,"(
                    44450人评价
                )"
"121","
                孤独六讲

                
              ","蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元",8.1,"(
                    44843人评价
                )"
"122","
                月亮忘記了

                
              ","幾米 / 格林 / 2000-2-1 / NT$ 299",8.6,"(
                    41340人评价
                )"
"123","
                此间的少年

                
              ","江南 / 华文出版社 / 2004-1 / 25.00元",8.4,"(
                    42304人评价
                )"
"124","
                查令十字街84号

                
              ","[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元",8.3,"(
                    42972人评价
                )"
"125","
                流浪地球

                
                   : 刘慈欣获奖作品 
              ","刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元",8.6,"(
                    41708人评价
                )"
"126","
                尘埃落定

                
              ","阿来 / 人民文学出版社 / 1998-3-1 / 22.0",8.4,"(
                    41019人评价
                )"
"127","
                球状闪电

                
              ","刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元",8.7,"(
                    39344人评价
                )"
"128","
                那些回不去的年少时光

                
              ","桐华 / 江苏文艺出版社 / 2010-01 / 23.80元",8.4,"(
                    39643人评价
                )"
"129","
                金锁记

                
              ","张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元",8.5,"(
                    39478人评价
                )"
"130","
                荆棘鸟

                
              ","[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元",8.6,"(
                    38636人评价
                )"
"131","
                悲惨世界（上中下）

                
              ","[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元",8.9,"(
                    36966人评价
                )"
"132","
                雷雨

                
              ","曹禺 / 人民文学出版社 / 1999-05 / 9.20",8.6,"(
                    38895人评价
                )"
"133","
                富爸爸，穷爸爸

                
              ","（美）罗伯特<U+30FB>T<U+30FB>清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80",8.3,"(
                    40201人评价
                )"
"134","
                哭泣的骆驼

                
              ","三毛 / 哈尔滨出版社 / 2003-6 / 15.80元",8.9,"(
                    36845人评价
                )"
"135","
                水浒传（全二册）

                
              ","[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元",8.6,"(
                    37878人评价
                )"
"136","
                一個人住第5年

                
              ","高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220",8.4,"(
                    38916人评价
                )"
"137","
                飞鸟集

                
              ","[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元",8.9,"(
                    36599人评价
                )"
"138","
                西游记（全二册）

                
              ","吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元",8.8,"(
                    36006人评价
                )"
"139","
                史蒂夫·乔布斯传

                
              ","[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元",8.7,"(
                    37045人评价
                )"
"140","
                寻路中国

                
                   : 从乡村到工厂的自驾之旅 
              ","[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元",9,"(
                    35665人评价
                )"
"141","
                常识

                
              ","梁文道 / 广西师范大学出版社 / 2009-1 / 38.00",8.1,"(
                    39741人评价
                )"
"142","
                鹿鼎记（全五册）

                
              ","金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元",8.8,"(
                    35944人评价
                )"
"143","
                倚天屠龙记(共四册)

                
              ","金庸 / 三联书店 / 1999-04 / 47.00",8.6,"(
                    36705人评价
                )"
"144","
                海贼王

                
                   : ONE PIECE 
              ","尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元",9.5,"(
                    32934人评价
                )"
"145","
                狂人日记

                
              ","鲁迅 / 京华出版社 / 2006-3 / 39.80元",8.7,"(
                    35833人评价
                )"
"146","
                最好的我们

                
              ","八月长安 / 湖南文艺出版社 / 2013-8-5 / 55",8.8,"(
                    35289人评价
                )"
"147","
                你好，旧时光（上 下）

                
              ","八月长安 / 新世界出版社 / 2009-12 / 39.80元",8.8,"(
                    35126人评价
                )"
"148","
                我与地坛

                
                   : 史铁生代表作 
              ","史铁生 / 春风文艺出版社 / 2002-5 / 25.00元",9,"(
                    34171人评价
                )"
"149","
                瓦尔登湖

                
              ","[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元",8.4,"(
                    37263人评价
                )"
"150","
                时间旅行者的妻子

                
              ","[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元",8.1,"(
                    38456人评价
                )"
"151","
                长恨歌

                
              ","王安忆 / 南海出版公司 / 2003-8 / 22.00元",8.2,"(
                    38042人评价
                )"
